Stockholder,Stake,Sharesowned,Total value ($),Sharesbought / sold,Totalchange,Symbol
Capital Research & Management Co....,3.94%,70314739,3137443654,-8565648,-10.86%,MO
Charles Schwab Investment Managem...,2.47%,44066327,1966239511,3516646,+8.67%,MO
Capital Research & Management Co....,1.98%,35346212,1577147979,14714666,+71.32%,MO
Geode Capital Management LLC,1.97%,35184122,1569915524,218861,+0.63%,MO
Capital Research & Management Co....,1.16%,20659038,921806276,154838,+0.76%,MO
"Northern Trust Investments, Inc.(...",0.95%,16974811,757416067,-96633,-0.57%,MO
Fidelity Management & Research Co...,0.80%,14282512,637285685,-768034,-5.10%,MO
"The Vanguard Group, Inc.",8.57%,45751882,11060517474,560972,+1.24%,AMGN
BlackRock Fund Advisors,5.74%,30656867,7411297597,1783094,+6.18%,AMGN
"SSgA Funds Management, Inc.",5.56%,29679087,7174919282,606026,+2.08%,AMGN
PRIMECAP Management Co.,2.86%,15292213,3696892493,-272657,-1.75%,AMGN
Capital Research & Management Co....,2.23%,11917565,2881071339,-687700,-5.46%,AMGN
Geode Capital Management LLC,2.13%,11375567,2750043322,174774,+1.56%,AMGN
Charles Schwab Investment Managem...,1.74%,9287286,2245201391,50756,+0.55%,AMGN
Morgan Stanley Smith Barney LLC (...,1.54%,8200365,1982438239,60420,+0.74%,AMGN
"Northern Trust Investments, Inc.(...",1.17%,6262382,1513930849,-77416,-1.22%,AMGN
Wells Fargo Clearing Services LLC,1.10%,5892240,1424449020,-137295,-2.28%,AMGN
"The Vanguard Group, Inc.",6.71%,400179062,41618622448,389892,+0.10%,GOOG
BlackRock Fund Advisors,4.02%,239857472,24945177088,-2553588,-1.05%,GOOG
"SSgA Funds Management, Inc.",3.26%,194690394,20247800976,-2207500,-1.12%,GOOG
"T. Rowe Price Associates, Inc. (I...",2.55%,152030268,15811147872,-51454644,-25.29%,GOOG
Fidelity Management & Research Co...,1.85%,110578509,11500164936,-15031836,-11.97%,GOOG
Geode Capital Management LLC,1.63%,97481034,10138027536,988569,+1.02%,GOOG
Capital Research & Management Co....,1.18%,70652061,7347814344,-6440324,-8.35%,GOOG
TCI Fund Management Ltd.,0.91%,54540690,5672231760,2109900,+4.02%,GOOG
AllianceBernstein LP,0.90%,53886876,5604235104,-9297974,-14.72%,GOOG
"Northern Trust Investments, Inc.(...",0.90%,53788885,5594044040,-954398,-1.74%,GOOG
"The Vanguard Group, Inc.",11.25%,21885946,3206072230,213735,+0.99%,AWK
"SSgA Funds Management, Inc.",5.36%,10433431,1528393307,-246505,-2.31%,AWK
BlackRock Fund Advisors,5.14%,9997798,1464577429,308927,+3.19%,AWK
Pictet Asset Management SA,3.47%,6752280,989141497,-227716,-3.26%,AWK
Impax Asset Management Ltd.,2.49%,4841870,709285536,190452,+4.09%,AWK
Geode Capital Management LLC,1.91%,3709960,543472040,82464,+2.27%,AWK
"Northern Trust Investments, Inc.(...",1.74%,3379482,495060318,198054,+6.23%,AWK
BlackRock Advisors (UK) Ltd.,1.53%,2972074,435379120,-99277,-3.23%,AWK
Invesco Capital Management LLC,1.47%,2866171,419865390,-70171,-2.39%,AWK
RREEF America LLC,1.36%,2641343,386930336,-185503,-6.56%,AWK
"The Vanguard Group, Inc.",9.89%,72946610,3673591280,-634919,-0.86%,AIG
Capital Research & Management Co....,5.61%,41329361,2081346620,9638037,+30.41%,AIG
BlackRock Fund Advisors,4.62%,34066476,1715587731,-1473112,-4.14%,AIG
"SSgA Funds Management, Inc.",4.50%,33198550,1671878978,-527910,-1.57%,AIG
"T. Rowe Price Associates, Inc. (I...",4.46%,32884193,1656047959,-2707172,-7.61%,AIG
Wellington Management Co. LLP,3.31%,24393693,1228466379,11846920,+94.42%,AIG
Fidelity Management & Research Co...,2.49%,18345294,923869006,647978,+3.66%,AIG
Harris Associates LP,2.19%,16138770,812748457,-6400034,-28.40%,AIG
"Diamond Hill Capital Management, ...",1.94%,14324467,721380158,-2302649,-13.85%,AIG
Geode Capital Management LLC,1.79%,13227041,666113785,-278667,-2.06%,AIG
"The Vanguard Group, Inc.",8.03%,129462647,12688634032,1556975,+1.22%,AMD
BlackRock Fund Advisors,4.79%,77112033,7557750354,754861,+0.99%,AMD
"SSgA Funds Management, Inc.",3.97%,63933172,6266090188,-1962582,-2.98%,AMD
"T. Rowe Price Associates, Inc. (I...",3.16%,50873006,4986063318,2457436,+5.08%,AMD
Fidelity Management & Research Co...,2.58%,41526415,4070003934,-3265540,-7.29%,AMD
Geode Capital Management LLC,1.81%,29113322,2853396689,387696,+1.35%,AMD
"JPMorgan Investment Management, I...",1.76%,28379062,2781431867,1208032,+4.45%,AMD
Fisher Asset Management LLC,1.61%,25885044,2536993162,6490705,+33.47%,AMD
Norges Bank Investment Management,1.20%,19331023,1894633564,5479787,+39.56%,AMD
Janus Henderson Investors US LLC,1.13%,18194447,1783237750,3254025,+21.78%,AMD
"The Vanguard Group, Inc.",9.73%,19675132,3150185385,1092793,+5.88%,ABC
BlackRock Fund Advisors,4.50%,9097851,1456656924,834655,+10.10%,ABC
"SSgA Funds Management, Inc.",3.65%,7389304,1183101463,398838,+5.71%,ABC
"JPMorgan Investment Management, I...",2.80%,5655247,905461597,-817762,-12.63%,ABC
"Boston Partners Global Investors,...",2.57%,5201488,832810244,159849,+3.17%,ABC
Fidelity Management & Research Co...,2.50%,5059908,810141870,-122928,-2.37%,ABC
"T. Rowe Price Associates, Inc. (I...",2.06%,4171292,667865562,3973094,"+2,004.61%",ABC
Geode Capital Management LLC,1.61%,3256549,521406060,169980,+5.51%,ABC
Bessemer Investment Management LL...,1.31%,2657282,425457421,1462904,+122.48%,ABC
BlackRock Investment Management (...,1.26%,2547269,407843240,-136517,-5.09%,ABC
"Berkshire Hathaway, Inc. (Investm...",20.37%,151610700,25008184965,0,0.00%,AXP
"The Vanguard Group, Inc.",6.02%,44803631,7390358933,228223,+0.51%,AXP
"SSgA Funds Management, Inc.",4.21%,31332125,5168234019,4768,+0.02%,AXP
BlackRock Fund Advisors,3.66%,27229811,4491557324,379148,+1.41%,AXP
Wellington Management Co. LLP,2.93%,21818034,3598884708,-1866960,-7.88%,AXP
Fisher Asset Management LLC,1.95%,14511472,2393667306,-527315,-3.51%,AXP
"JPMorgan Investment Management, I...",1.61%,11950498,1971234645,381195,+3.29%,AXP
